Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
66,55.69 ,-12.98 ,0.37 ,0.47 ,0.28 ,0.40 ,-0.76 ,3.19 ,16.40 ,0.18 ,642,695,668.92 ,669,13.07 ,0.51 ,0.08 ,-9.93 ,0.10 ,0.23 ,16,33.98 ,8.1,7.30 ,1.29 ,12.13 ,0.49 ,0
67,55.78 ,2.20 ,0.79 ,1.08 ,0.59 ,0.46 ,58.14 ,3.56 ,24.65 ,0.10 ,445,550,496.84 ,497,20.22 ,1.56 ,0.24 ,-6.55 ,0.28 ,0.63 ,211,395.32 ,7,7.06 ,0.31 ,8.58 ,0.08 ,BDSB_13__khar__1
68,56.19 ,3.32 ,0.35 ,0.37 ,0.33 ,0.12 ,-13.75 ,1.11 ,6.51 ,0.03 ,551,625,587.69 ,588,15.80 ,3.79 ,0.14 ,3.57 ,0.13 ,0.33 ,95,155.31 ,8.75,9.61 ,0.36 ,9.61 ,0.36 ,"NGC_6793__cgoc__3,NGC_6793__khar__1,NGC_6793__dias__1,NGC_6793__cocd__1"
69,56.30 ,3.59 ,0.87 ,1.13 ,0.67 ,0.40 ,3.49 ,7.89 ,37.29 ,0.21 ,648,804,729.30 ,727,31.35 ,-1.81 ,0.08 ,-1.47 ,0.07 ,0.20 ,21,45.07 ,8.9,11.09 ,0.82 ,11.09 ,0.82 ,"NGC_6793__cgoc__1,NGC_6793__khar__1,NGC_6793__dias__1,NGC_6793__cocd__1"
70,56.33 ,5.96 ,0.47 ,0.48 ,0.46 ,0.05 ,20.59 ,3.56 ,24.80 ,0.13 ,371,622,488.75 ,493,27.76 ,0.33 ,0.21 ,-5.38 ,0.17 ,0.43 ,27,37.54 ,7.1,9.80 ,0.28 ,9.80 ,0.28 ,0
71,56.93 ,3.20 ,0.27 ,0.30 ,0.23 ,0.23 ,-57.16 ,0.84 ,5.50 ,0.03 ,435,617,526.88 ,524,37.00 ,1.30 ,0.28 ,-5.48 ,0.25 ,0.60 ,40,85.27 ,6.85,7.62 ,0.01 ,7.77 ,-0.05 ,0
72,57.42 ,10.19 ,1.26 ,1.36 ,1.18 ,0.13 ,-56.42 ,12.60 ,95.39 ,1.27 ,307,610,449.79 ,454,42.58 ,-0.68 ,0.20 ,-4.41 ,0.21 ,0.48 ,57,67.48 ,7.8,9.24 ,0.12 ,9.29 ,0.11 ,0
73,58.13 ,-0.47 ,0.19 ,0.24 ,0.15 ,0.38 ,49.23 ,1.45 ,7.87 ,0.09 ,592,676,634.64 ,634,22.12 ,0.74 ,0.11 ,-6.51 ,0.13 ,0.33 ,9,29.39 ,7.25,10.76 ,0.31 ,10.76 ,0.31 ,0
74,58.41 ,-0.11 ,0.43 ,0.47 ,0.40 ,0.13 ,-68.37 ,0.85 ,5.12 ,0.02 ,452,689,569.11 ,571,38.37 ,-0.11 ,0.10 ,-3.33 ,0.10 ,0.26 ,16,18.90 ,7.95,5.88 ,1.65 ,10.58 ,0.25 ,0
75,58.92 ,-1.91 ,0.20 ,0.23 ,0.18 ,0.19 ,18.50 ,1.71 ,6.76 ,0.03 ,820,920,868.29 ,871,24.11 ,-0.19 ,0.09 ,-5.11 ,0.09 ,0.23 ,31,86.31 ,7.2,11.04 ,0.44 ,11.04 ,0.44 ,"ASCC_107__cgoc__3,ASCC_107__khar__1,ASCC_107__dias__1"
