# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 105,,137.6021,-49.9128,4.0,1.91,0.31,0.64,12.35,0.13,2950,180,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_105/
SAI 106,,139.4975,-51.0294,5.0,1.02,0.02,0.53,13.56,0.1,5152,240,9.35,0.05,http://ocl.sai.msu.ru/catalog/sai_106/
SAI 107,Teutsch 103,142.1492,-46.6000,3.0,0.62,0.06,0.5,12.23,0.38,2790,530,8.75,-inf,http://ocl.sai.msu.ru/catalog/sai_107/
SAI 108,,144.7204,-52.9578,6.0,0.66,0.02,0.55,12.32,0.08,2910,110,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_108/
SAI 109,,145.8933,-50.7925,5.0,0.23,0.04,0.46,14.43,0.5,7690,2000,9.2,0.2,http://ocl.sai.msu.ru/catalog/sai_109/
SAI 110,FSR 1509,147.0033,-55.0669,2.0,1.17,0.13,0.61,11.59,0.05,2080,50,8.75,0.05,http://ocl.sai.msu.ru/catalog/sai_110/
SAI 111,FSR 1521,148.8442,-56.6042,8.0,0.9,0.17,0.66,13.0,0.3,3980,590,9.45,0.1,http://ocl.sai.msu.ru/catalog/sai_111/
SAI 112,,155.3537,-59.0928,2.0,1.0,0.02,0.52,14.3,0.15,7240,520,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_112/
SAI 113,,155.6817,-59.5056,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_113/
SAI 114,FSR 1555,162.2321,-59.0494,3.0,0.76,0.05,0.49,13.4,0.3,4790,710,9.25,0.1,http://ocl.sai.msu.ru/catalog/sai_114/
Trumpler 19,,168.5842,-57.5511,14.0,0.08,0.01,0.57,11.4,0.05,1900,50,9.65,0.05,http://ocl.sai.msu.ru/catalog/trumpler_19/
SAI 115,FSR 1586,170.6871,-62.3183,5.0,1.6,0.29,0.67,11.92,0.2,2420,230,8.65,0.1,http://ocl.sai.msu.ru/catalog/sai_115/
SAI 116,,177.3250,-62.2297,5.0,0.98,0.08,0.57,11.72,0.17,2200,180,8.6,0.05,http://ocl.sai.msu.ru/catalog/sai_116/
BH 131,,186.5571,-63.4139,5.0,0.62,0.04,0.57,13.98,0.22,6250,670,9.1,0.1,http://ocl.sai.msu.ru/catalog/bh_131/
SAI 117,FSR 1663,205.2688,-60.2075,4.0,1.01,0.16,0.63,11.66,0.25,2150,260,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_117/
SAI 118,,205.7658,-63.1647,8.0,0.17,0.21,0.55,10.28,0.62,1140,370,9.75,0.25,http://ocl.sai.msu.ru/catalog/sai_118/
SAI 119,FSR 1662,206.0592,-62.0675,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_119/
SAI 120,,209.6750,-61.6689,2.0,1.99,0.3,0.63,12.03,0.21,2550,260,8.75,0.1,http://ocl.sai.msu.ru/catalog/sai_120/
SAI 121,FSR 1686,220.0283,-60.3869,5.0,1.48,0.23,0.64,13.02,0.16,4020,300,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_121/
SAI 122,,225.0163,-58.8036,8.0,2.26,0.43,0.65,11.12,0.04,1670,30,8.25,0.15,http://ocl.sai.msu.ru/catalog/sai_122/
SAI 123,,242.0725,-50.5350,7.0,1.35,0.18,0.61,11.35,0.18,1860,160,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_123/
SAI 124,FSR 1744,252.8992,-42.4297,3.0,2.58,0.34,0.61,12.48,0.26,3130,400,8.85,0.2,http://ocl.sai.msu.ru/catalog/sai_124/
SAI 125,FSR 31,271.6158,-21.3908,5.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_125/
SAI 126,,273.3612,-17.8803,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_126/
SAI 127,FSR 124,286.7200,13.2456,4.0,0.98,0.12,0.6,11.56,0.41,2050,430,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_127/
SAI 128,FSR 133,292.4454,15.5642,6.0,2.26,0.45,0.66,11.59,0.12,2080,120,8.35,0.05,http://ocl.sai.msu.ru/catalog/sai_128/
SAI 129,FSR 160,296.1846,26.9022,3.0,1.42,0.05,0.56,14.38,0.3,7520,1110,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_129/
SAI 130,FSR 158,296.9921,26.0319,8.0,1.17,0.04,0.65,12.78,0.11,3600,190,8.3,-inf,http://ocl.sai.msu.ru/catalog/sai_130/
SAI 131,FSR 154,297.0033,23.3481,3.0,0.7,0.13,0.53,12.23,0.05,2790,70,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_131/
SAI 132,,299.2563,31.6086,8.0,0.94,0.09,0.59,12.28,0.06,2860,80,8.75,0.05,http://ocl.sai.msu.ru/catalog/sai_132/
SAI 133,Kronberger 69,300.4946,31.4383,4.0,1.8,0.05,0.61,13.94,0.16,6140,470,7.85,0.05,http://ocl.sai.msu.ru/catalog/sai_133/
SAI 134,FSR 198,300.6117,35.6761,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_134/
SAI 135,,300.7329,24.5547,5.0,1.34,0.29,0.68,12.89,0.06,3780,110,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_135/
SAI 136,Kronberger 36,301.1488,35.2175,6.0,0.76,0.18,0.68,11.4,0.26,1900,240,8.4,-inf,http://ocl.sai.msu.ru/catalog/sai_136/
SAI 137,,312.4692,41.2550,6.0,0.89,0.08,0.58,10.12,0.24,1060,120,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_137/
Berkeley 53,,313.9804,51.0483,10.0,1.31,0.2,0.59,12.74,0.13,3530,220,9.15,0.05,http://ocl.sai.msu.ru/catalog/berkeley_53/
SAI 138,FSR 275,314.1792,46.8875,10.0,0.76,0.05,0.57,11.98,0.11,2490,130,9.25,0.05,http://ocl.sai.msu.ru/catalog/sai_138/
SAI 139,Teutsch 22,315.4200,44.1119,2.0,0.86,0.13,0.63,12.16,0.33,2700,440,8.55,0.05,http://ocl.sai.msu.ru/catalog/sai_139/
